idVotacao,idPartido,sim,nao
0,0,0,5
0,1,0,4
0,2,1,0
0,3,0,4
0,4,0,2
0,5,0,1
0,6,4,0
0,7,1,0
0,8,2,0
0,9,0,1
0,10,0,2
0,11,1,0
0,12,1,1
0,13,1,2
0,14,0,1
0,15,0,1
0,16,0,0
0,17,0,0
0,18,0,0
0,19,0,0
0,20,0,0
0,21,0,0
0,22,0,0
0,23,0,0
0,24,0,0
0,25,0,0
1,0,36,5
1,1,25,0
1,2,20,0
1,3,19,0
1,4,24,1
1,5,4,0
1,6,39,0
1,7,7,0
1,8,25,1
1,9,0,7
1,10,33,0
1,11,1,0
1,12,6,1
1,13,19,1
1,14,30,1
1,15,6,0
1,16,6,0
1,17,24,1
1,18,2,1
1,19,7,1
1,20,5,0
1,21,7,0
1,22,6,0
1,23,7,0
1,24,0,0
1,25,0,0
2,0,7,0
2,1,3,0
2,2,3,0
2,3,1,0
2,4,2,0
2,5,1,0
2,6,4,0
2,7,1,0
2,8,2,0
2,9,1,0
2,10,0,0
2,11,1,0
2,12,2,0
2,13,4,0
2,14,2,0
2,15,1,0
2,16,1,0
2,17,2,0
2,18,0,0
2,19,0,0
2,20,0,0
2,21,2,0
2,22,0,0
2,23,0,0
2,24,0,0
2,25,0,0
3,0,0,3
3,1,1,1
3,2,0,0
3,3,2,2
3,4,0,2
3,5,0,0
3,6,0,0
3,7,0,0
3,8,0,1
3,9,0,1
3,10,0,0
3,11,0,0
3,12,0,1
3,13,2,0
3,14,0,3
3,15,0,1
3,16,0,0
3,17,0,1
3,18,0,0
3,19,0,0
3,20,0,1
3,21,0,0
3,22,0,0
3,23,0,0
3,24,0,0
3,25,0,0
4,0,4,40
4,1,1,23
4,2,0,18
4,3,19,5
4,4,0,25
4,5,0,2
4,6,0,40
4,7,0,6
4,8,3,19
4,9,8,0
4,10,0,26
4,11,0,1
4,12,0,9
4,13,0,16
4,14,0,23
4,15,1,4
4,16,0,7
4,17,1,21
4,18,0,2
4,19,1,3
4,20,2,3
4,21,0,4
4,22,0,8
4,23,0,4
4,24,0,0
4,25,0,0
5,0,2,45
5,1,27,0
5,2,21,1
5,3,18,5
5,4,3,21
5,5,4,0
5,6,51,0
5,7,8,0
5,8,20,4
5,9,0,7
5,10,34,2
5,11,1,0
5,12,5,2
5,13,3,20
5,14,27,3
5,15,7,1
5,16,6,3
5,17,21,5
5,18,3,1
5,19,10,1
5,20,4,0
5,21,12,1
5,22,8,0
5,23,8,1
5,24,1,0
5,25,0,0
6,0,41,6
6,1,0,25
6,2,0,22
6,3,1,28
6,4,1,22
6,5,0,2
6,6,1,43
6,7,0,9
6,8,1,22
6,9,8,0
6,10,0,31
6,11,0,1
6,12,0,6
6,13,1,23
6,14,1,32
6,15,0,6
6,16,1,9
6,17,1,22
6,18,0,4
6,19,2,5
6,20,2,3
6,21,1,6
6,22,0,5
6,23,0,8
6,24,0,0
6,25,0,0
7,0,5,42
7,1,20,0
7,2,25,0
7,3,26,1
7,4,22,5
7,5,3,1
7,6,48,0
7,7,5,1
7,8,25,1
7,9,0,7
7,10,34,1
7,11,1,0
7,12,8,2
7,13,22,3
7,14,30,3
7,15,5,1
7,16,5,2
7,17,24,1
7,18,3,1
7,19,4,4
7,20,7,1
7,21,9,0
7,22,7,0
7,23,5,0
7,24,0,0
7,25,0,0
8,0,7,41
8,1,27,0
8,2,25,0
8,3,27,0
8,4,27,2
8,5,4,0
8,6,50,0
8,7,8,0
8,8,28,0
8,9,7,0
8,10,31,2
8,11,1,0
8,12,10,0
8,13,19,1
8,14,33,2
8,15,5,0
8,16,7,0
8,17,30,1
8,18,4,1
8,19,7,3
8,20,7,0
8,21,10,0
8,22,7,0
8,23,9,0
8,24,0,0
8,25,0,0
9,0,41,8
9,1,2,24
9,2,0,24
9,3,0,29
9,4,2,23
9,5,0,4
9,6,0,52
9,7,0,9
9,8,0,27
9,9,0,8
9,10,2,34
9,11,0,1
9,12,1,8
9,13,2,23
9,14,2,31
9,15,0,6
9,16,3,7
9,17,1,26
9,18,0,4
9,19,4,5
9,20,1,5
9,21,1,12
9,22,1,6
9,23,0,9
9,24,0,0
9,25,0,0
10,0,40,6
10,1,0,22
10,2,2,21
10,3,0,27
10,4,3,21
10,5,0,4
10,6,0,52
10,7,0,9
10,8,1,23
10,9,0,8
10,10,1,34
10,11,0,1
10,12,0,8
10,13,1,21
10,14,1,32
10,15,0,6
10,16,0,6
10,17,0,28
10,18,1,3
10,19,2,5
10,20,0,6
10,21,1,9
10,22,0,7
10,23,0,7
10,24,0,0
10,25,0,0
11,0,6,1
11,1,4,0
11,2,0,2
11,3,1,2
11,4,2,1
11,5,0,0
11,6,0,7
11,7,0,1
11,8,0,4
11,9,0,0
11,10,4,0
11,11,0,0
11,12,1,1
11,13,0,3
11,14,0,4
11,15,1,0
11,16,1,0
11,17,1,3
11,18,0,1
11,19,0,0
11,20,0,0
11,21,0,1
11,22,0,1
11,23,0,0
11,24,0,0
11,25,0,0
12,0,6,1
12,1,2,2
12,2,0,4
12,3,1,2
12,4,0,2
12,5,0,0
12,6,0,6
12,7,0,1
12,8,0,4
12,9,1,0
12,10,3,0
12,11,0,1
12,12,1,0
12,13,0,4
12,14,1,3
12,15,0,1
12,16,1,0
12,17,2,0
12,18,0,0
12,19,0,0
12,20,1,0
12,21,0,0
12,22,0,0
12,23,0,0
12,24,0,0
12,25,0,0
13,0,1,6
13,1,3,0
13,2,4,0
13,3,4,0
13,4,2,0
13,5,0,0
13,6,6,0
13,7,1,0
13,8,4,0
13,9,0,1
13,10,0,2
13,11,1,0
13,12,1,1
13,13,3,0
13,14,3,0
13,15,1,0
13,16,0,0
13,17,2,0
13,18,1,0
13,19,0,0
13,20,0,1
13,21,0,0
13,22,0,0
13,23,0,0
13,24,0,0
13,25,0,0
14,0,44,0
14,1,23,0
14,2,23,2
14,3,27,0
14,4,28,0
14,5,4,0
14,6,46,0
14,7,0,6
14,8,26,1
14,9,8,0
14,10,34,0
14,11,1,0
14,12,9,0
14,13,19,0
14,14,31,1
14,15,3,0
14,16,9,1
14,17,28,0
14,18,4,0
14,19,5,0
14,20,7,0
14,21,10,0
14,22,7,0
14,23,9,0
14,24,1,0
14,25,0,0
